Attr 1,Attr 2
0.506996,0.262606
0.504046,0.161164
0.464605,0.187476
0.49545,0.218989
0.476868,0.197844
0.467469,0.183167
0.493148,0.241011
0.453108,0.200183
0.466158,0.196139
0.515485,0.210781
0.469718,0.168814
0.566456,0.299538
0.559728,0.29275
0.715641,0.370674
0.53384,0.278045
0.710571,0.335708
0.48381,0.195957
0.569389,0.305758
0.619084,0.276463
0.481716,0.218083
0.706136,0.335041
0.622926,0.310854
0.519143,0.272688
0.750525,0.374332
0.597492,0.350329
0.610993,0.30554
0.569468,0.311551
0.683763,0.324519
0.627007,0.312722
0.471041,0.211549
0.649841,0.277969
0.868223,0.100694
0.612363,0.286006
0.608886,0.261579
0.689958,0.351052
0.515044,0.255924
0.705858,0.325992
0.496236,0.208495
0.596874,0.322671
0.620791,0.335725
0.525569,0.231481
0.630262,0.323485
0.516976,0.302278
0.6124,0.335865
0.447624,0.171521
0.645472,0.353805
0.566569,0.248314
0.650945,0.287901
0.550959,0.290145
0.632457,0.172939
0.78177,0.286835
0.657424,0.361102
0.697206,0.316591
0.621944,0.27676
0.657912,0.307573
0.531125,0.25725
0.555268,0.276215
0.497947,0.202773
0.515696,0.180481
0.496253,0.166209
0.532281,0.219589
0.513547,0.231018
0.516021,0.268134
0.582984,0.268862
0.521584,0.154908
0.604937,0.302746
0.574757,0.231689
0.554223,0.287321
0.54147,0.21787
0.544722,0.250077
0.527185,0.271927
0.615442,0.256563
0.700779,0.679314
0.730625,0.724688
0.691072,0.84302
0.694454,0.666892
0.69048,0.833722
0.627948,1
0.71676,0.73052
0.725524,0.796806
0.735148,0.727848
0.760728,0.750684
0.814508,0.81146
0.773753,0.739005
0.798447,0.792588
0.729699,0.741252
0.814464,0.806425
0.766237,0.772042
0.757862,0.730728
0.733026,0.771994
0.746305,0.744211
0.761597,0.702017
0.763458,0.750433
0.786368,0.769585
0.741838,0.728426
0.773355,0.719215
0.741838,0.72041
0.743118,0.795017
0.738322,0.721124
0.737574,0.696041
0.769447,0.778624
0.725786,0.66524
0.79584,0.863873
0.762846,0.752997
0.750914,0.753064
0.762815,0.709379
0.767883,0.737773
0.797391,0.833247
0.730904,0.65948
0.76315,0.717344
0.736379,0.76523
0.766318,0.789758
0.791537,0.77267
0.806792,0.775155
0.795161,0.773879
0.775936,0.782203
0.808024,0.764728
0.756186,0.709298
0.80179,0.812119
0.766883,0.7099
0.799927,0.766696
0.764261,0.785906
0.714296,0.738665
0.760269,0.747407
0.789565,0.726725
0.739802,0.671877
0.75386,0.766232
0.718633,0.714015
0.772134,0.773629
0.732184,0.742203
0.724902,0.69488
0.730602,0.715051
0.794201,0.791631
0.780202,0.710163
0.803905,0.79122
0.789473,0.788177
0.805793,0.833289
0.775005,0.740474
0.718116,0.694407
0.756407,0.717489
0.830221,0.850939
0.764622,0.741698
0.72199,0.733866
0.791312,0.816716
0.728174,0.723681
0.742555,0.773611
0.731231,0.702943
0.716603,0.780113
0.719851,0.671177
0.776321,0.688774
0.810721,0.81138
0.71034,0.720948
0.727515,0.806574
0.77225,0.7599
0.728481,0.803267
0.720299,0.750941
0.727399,0.681416
0.744044,0.804909
0.714334,0.742602
0.723696,0.718152
0.742211,0.726563
